nome;fabricante;categoria; vlr_custo ; vlr_varejo ;cod_ncm;cod_forma_aquisicao;cod_origem_mercadoria;Tipo de Tributacao;cod_regra_padrao;dsc_unidade_comercial
11469 - VOLVO NL 10 DIA 475;SACHS;Produto Acabado L.P.; R$ 300,00 ; R$2.100,00 ;87089300;30;11;19;58;PECA
11249-2 PLATÔ 280mm LUK EMPURRADO(chapa) MBB1113;LUK;Produto Acabado L.P.; R$ 80,00 ; R$225,00 ;87089300;30;11;19;58;PECA
55080 DISCO 380 MODERNO S/PRE;SACHS;Produto Acabado L.P.; R$ 226,00 ; R$618,00 ;87089300;30;11;19;58;PECA
55408 Disco Embreagem Dia. 250 Aplic. 608;SACHS;Produto Acabado L.P.; R$ 112,00 ; R$220,00 ;87089300;30;11;19;58;PECA
11192 PLATÔ F.F. 330mm MBB 366;SACHS;Produto Acabado L.P.; R$ 90,00 ; R$288,00 ;87089300;30;11;19;58;PECA
11236 Plato Embreagem Dia 310 Aplicação 1313 mm;SACHS;Produto Acabado L.P.; R$ 80,00 ; R$263,00 ;87089300;30;11;19;58;PECA
66597 - KIT 395mm - 11546\55597\33397 - VW CONSTELLATION 17-250E\23-260E\24-250E\26-280E\31-280E;SACHS;Produto Acabado L.P.; R$ 675,00 ; R$2.250,00 ;87089300;30;11;19;58;PECA
55326 - DISCO 330mm MBBB 1114/1313/1314/1714/1718 OM366 136cv;SACHS;Produto Acabado L.P.; R$ 163,00 ; R$314,00 ;87089300;30;11;19;58;PECA
33324 MANCAL 330mm MBB (motor 366) / HCS 06P15 / KSW 101.34F;SACHS;Produto Acabado L.P.; R$ 60,00 ; R$130,00 ;87089300;30;11;19;58;PECA
33352 MANCAL 430mm SCANIA R 113 / T 113 / TH 113 / T 143;SACHS;Produto Acabado L.P.; R$ 112,00 ; R$312,00 ;87089300;30;11;19;58;PECA
33399 - Rolamento 330mm - Iveco Vertis 90V16 / 90V18 Iveco NEF4 Euro 3 e 5;SACHS;Produto Acabado L.P.; R$ 70,00 ; R$180,00 ;87089300;30;11;19;58;PECA
66596 - KIT 430mm - 11596\55596\33396 - VW CONSTELLATION 19-320E\340E\360E\25-320E\26-360E\31-320E;SACHS;Produto Acabado L.P.; R$ 500,00 ; R$2.230,00 ;87089300;30;11;19;58;PECA
55421 - DISCO 430MM VOLVO B10M;SACHS;Produto Acabado L.P.; R$ 350,00 ; R$952,00 ;87089300;30;11;19;58;PECA
66983 - KIT 380mm - 11082\55383\33392 -S/ MORINGA- F.Cargo2422e\2428e\VW16-300\18-310\26-310\31-310;SACHS;Produto Acabado L.P.; R$ 528,00 ; R$1.798,00 ;87089300;30;11;19;58;PECA
55035 DISCO 350mm Moderno\ MBB 1620 \ FORD CARGO;SACHS;Produto Acabado L.P.; R$ 174,00 ; R$479,00 ;87089300;30;11;19;58;PECA
11142-2 PLATÔ325 LUK  FORD 13¨;LUK;Produto Acabado L.P.; R$ 90,00 ; R$246,50 ;87089300;30;11;19;58;PECA
11599 Plato Embreagem Dia 362 Aplicação 13180/15180 Constell;SACHS;Produto Acabado L.P.; R$ 160,00 ; R$686,00 ;87089300;30;11;19;58;PECA
55599 Disco Embreagem Dia 362 Constellation;SACHS;Produto Acabado L.P.; R$ 256,00 ; R$579,00 ;87089300;30;11;19;58;PECA
33739 - MANCAL 395mm VW Constellation 24-280 / 15-190 - 2010... (Automatizado)- Alt. 37,0;SACHS;Produto Acabado L.P.; R$ 79,00 ; R$174,00 ;87089300;30;11;19;58;PECA
33395-3 MANCAL395mm EATON C/MORINGA(bojudo\baixo) - Ford Cargo2632/5032E - VW 26-260E \ KSW 101.71;EATON;Produto Acabado L.P.; R$ 115,00 ; R$198,00 ;87089300;30;11;19;58;PECA
55389 SCANIA R112 430mm;SACHS;Produto Acabado L.P.; R$ 390,00 ; R$952,00 ;87089300;30;11;19;58;PECA
55295-3 DISCO 395mm Cargo 2632/5032E \\ 1723 PANDA(cubo baixo) estria grossa;EATON;Produto Acabado L.P.; R$ 262,00 ; R$756,00 ;87089300;30;11;19;58;PECA
