id;vlr_intermediario_ii
379158;R$82,45
379159;R$82,45
379154;R$42,58
379155;R$42,58
379156;R$42,58
379151;R$124,97
379152;R$124,97
245604;R$36,70
245993;R$15,40
246089;R$25,12
246998;R$66,92
246656;R$66,92
246596;R$66,92
246521;R$121,04
246650;R$121,04
246927;R$121,04
245720;R$33,94
245958;R$15,87
245257;R$22,26
245278;R$22,26
245379;R$22,26
245942;R$32,63
246162;R$18,90
383120;R$120,33
246073;R$37,85
244954;R$75,00
245213;R$75,00
245678;R$75,00
245075;R$160,00
245559;R$160,00
383009;R$50,24
383008;R$50,24
245302;R$22,26
383010;R$50,24
388639;R$50,24
388638;R$50,24
383011;R$50,24
388642;R$50,24
244828;R$129,14
245060;R$129,14
245541;R$129,14
245655;R$109,83
245882;R$22,43
245968;R$36,16
245192;R$76,62
245658;R$76,62
247155;R$34,50
247170;R$40,40
247206;R$12,50
246058;R$44,11
245926;R$41,43
246057;R$32,30
245983;R$26,75
244976;R$104,30
245239;R$104,30
245699;R$104,30
245883;R$0,00
245908;R$9,90
246021;R$0,00
244873;R$19,90
245115;R$19,90
245597;R$19,90
246045;R$15,00
244939;R$19,90
245198;R$19,90
245663;R$19,90
247210;R$58,14
247020;R$139,90
247263;R$46,98
246223;R$22,82
245458;R$52,07
245889;R$24,66
246226;R$15,53
246861;R$52,27
245047;R$53,37
245530;R$53,37
244818;R$53,37
245858;R$53,37
245890;R$16,97
245225;R$130,50
245688;R$130,50
244964;R$130,50
245105;R$79,47
245584;R$79,47
245466;R$52,07
245419;R$52,07
245490;R$52,07
247019;R$17,03
247081;R$52,27
247167;R$83,98
247165;R$45,81
246589;R$93,37
246739;R$93,37
247221;R$28,19
246753;R$58,37
247249;R$18,18
247195;R$18,18
246967;R$47,87
246707;R$47,87
246559;R$47,87
246755;R$36,45
246507;R$47,87
246756;R$47,87
246513;R$86,23
246662;R$86,23
246918;R$86,23
246758;R$36,45
246641;R$47,87
247046;R$47,87
247202;R$33,71
247090;R$32,79
246478;R$20,24
246862;R$20,24
246887;R$20,24
247247;R$38,33
246772;R$47,87
246517;R$61,11
245148;R$55,14
245620;R$55,14
244920;R$64,92
245292;R$64,92
245172;R$64,92
245640;R$64,92
247443;R$87,76
388545;R$87,76
383234;R$31,91
388544;R$87,76
245050;R$79,93
245532;R$79,93
246183;R$41,00
246120;R$41,00
246445;R$77,00
388604;R$224,46
388601;R$224,46
387553;R$10,55
383220;R$4,50
388710;R$10,54
388713;R$10,54
387555;R$10,55
381266;R$19,90
388701;R$86,91
