cod_barras;nome;fabricante;tamanho;cor_sabor;vlr_custo;vlr_atacado;vlr_varejo;ncm;forma_aquisicao;origem_mercadoria;tipo_tributacao_ipi;Uni Comercial
790000006248;CAMISETA MASC - BRANCA-BRANCO-XL;BODY STYLE;XL;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006262;REG C/CAPUZ MASC-VINHO-VINHO-S;BODY STYLE;S;VINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006263;REG C/CAPUZ MASC-VINHO-VINHO-M;BODY STYLE;M;VINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006264;REG C/CAPUZ MASC-VINHO-VINHO-L;BODY STYLE;L;VINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006265;REG C/CAPUZ MASC-VINHO-VINHO-XL;BODY STYLE;XL;VINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006274;CAMISETA MASC - BRANCA-BRANCO-S;BODY STYLE;S;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006275;CAMISETA MASC - BRANCA-BRANCO-M;BODY STYLE;M;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006276;CAMISETA MASC - BRANCA-BRANCO-L;BODY STYLE;L;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006277;CAMISETA MASC - BRANCA-BRANCO-XL;BODY STYLE;XL;BRANCO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006278;CAMISETA MASC - PRETA-PRETO-S;BODY STYLE;S;PRETO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006279;CAMISETA MASC - PRETA-PRETO-M;BODY STYLE;M;PRETO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006280;CAMISETA MASC - PRETA-PRETO-L;BODY STYLE;L;PRETO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006281;CAMISETA MASC - PRETA-PRETO-XL;BODY STYLE;XL;PRETO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006282;REG C/CAPUZ FEM - VINHO-VINHO-S;BODY STYLE;S;VINHO;0,00;37,00;69,00;61062000;30;11;19;UN
790000006283;REG C/CAPUZ FEM - VINHO-VINHO-M;BODY STYLE;M;VINHO;0,00;37,00;69,00;61062000;30;11;19;UN
790000006284;REG C/CAPUZ FEM - VINHO-VINHO-L;BODY STYLE;L;VINHO;0,00;37,00;69,00;61062000;30;11;19;UN
790000006285;CAM ML MASC-TERRA COTA-TERRA COTA-S;BODY STYLE;S;TERRA COTA;0,00;50,00;100,00;61091000;30;11;19;UN
790000006286;CAM ML MASC-TERRA COTA-TERRA COTA-M;BODY STYLE;M;TERRA COTA;0,00;50,00;100,00;61091000;30;11;19;UN
790000006287;CAM ML MASC-TERRA COTA-TERRA COTA-L;BODY STYLE;L;TERRA COTA;0,00;50,00;100,00;61091000;30;11;19;UN
790000006288;CAM ML MASC-TERRA COTA-TERRA COTA-XL;BODY STYLE;XL;TERRA COTA;0,00;50,00;100,00;61091000;30;11;19;UN
790000006367;CAMISETA MASC - VERMELHA-VERMELHO-S;BODY STYLE;S;VERMELHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006368;CAMISETA MASC - VERMELHA-VERMELHO-M;BODY STYLE;M;VERMELHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006369;CAMISETA MASC - VERMELHA-VERMELHO-L;BODY STYLE;L;VERMELHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006370;CAMISETA MASC - VERMELHA-VERMELHO-XL;BODY STYLE;XL;VERMELHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006371;CAMISETA MASC - MARINHO-MARINHO-S;BODY STYLE;S;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006372;CAMISETA MASC - MARINHO-MARINHO-M;BODY STYLE;M;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006373;CAMISETA MASC - MARINHO-MARINHO-L;BODY STYLE;L;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006374;CAMISETA MASC - MARINHO-MARINHO-XL;BODY STYLE;XL;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006375;CAMISETA MASC - CHUMBO-CHUMBO-S;BODY STYLE;S;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006376;CAMISETA MASC - CHUMBO-CHUMBO-M;BODY STYLE;M;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006377;CAMISETA MASC - CHUMBO-CHUMBO-L;BODY STYLE;L;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006378;CAMISETA MASC - CHUMBO-CHUMBO-XL;BODY STYLE;XL;CHUMBO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006379;CAMISETA MASC - VERDE-VERDE-S;BODY STYLE;S;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006380;CAMISETA MASC - VERDE-VERDE-M;BODY STYLE;M;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006381;CAMISETA MASC - VERDE-VERDE-L;BODY STYLE;L;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006382;CAMISETA MASC - VERDE-VERDE-XL;BODY STYLE;XL;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006415;TOP C/ TULE - CHUMBO-CHUMBO-S;BODY STYLE;S;CHUMBO;0,00;39,00;69,00;61091000;30;11;19;UN
790000006416;TOP C/ TULE - CHUMBO-CHUMBO-M;BODY STYLE;M;CHUMBO;0,00;39,00;69,00;61091000;30;11;19;UN
790000006417;TOP C/ TULE - CHUMBO-CHUMBO-L;BODY STYLE;L;CHUMBO;0,00;39,00;69,00;61091000;30;11;19;UN
790000006435;CAMISA MASC. MARINHO-MARINHO-S;BODY STYLE;S;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006436;CAMISA MASC. MARINHO-MARINHO-M;BODY STYLE;M;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006437;CAMISA MASC. MARINHO-MARINHO-L;BODY STYLE;L;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006438;CAMISA MASC. MARINHO-MARINHO-XL;BODY STYLE;XL;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006439;CAMISA BASICA MASC. VERDE-VERDE-S;BODY STYLE;S;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006440;CAMISA BASICA MASC. VERDE-VERDE-M;BODY STYLE;M;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006441;CAMISA BASICA MASC. VERDE-VERDE-L;BODY STYLE;L;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006442;CAMISA BASICA MASC. VERDE-VERDE-XL;BODY STYLE;XL;VERDE;0,00;39,00;79,00;61091000;30;11;19;UN
790000006445;CAMISA MASC. MARINHO-MARINHO-L;BODY STYLE;L;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006446;CAMISA MASC. MARINHO-MARINHO-XL;BODY STYLE;XL;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006443;CAMISA MASC. MARINHO-MARINHO-S;BODY STYLE;S;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006444;CAMISA MASC. MARINHO-MARINHO-M;BODY STYLE;M;MARINHO;0,00;39,00;79,00;61091000;30;11;19;UN
790000006499;CAL?A LEGGING - CHUMBO-CHUMBO-S;BODY STYLE;S;CHUMBO;0,00;65,00;90,00;62046300;30;11;19;UN
790000006500;CAL?A LEGGING - CHUMBO-CHUMBO-M;BODY STYLE;M;CHUMBO;0,00;65,00;90,00;62046300;30;11;19;UN
790000006501;CAL?A LEGGING - CHUMBO-CHUMBO-L;BODY STYLE;L;CHUMBO;0,00;65,00;90,00;62046300;30;11;19;UN
790000006506;BERMUDA MARINHO-MARINHO-S;BODY STYLE;S;MARINHO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006507;BERMUDA MARINHO-MARINHO-M;BODY STYLE;M;MARINHO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006508;BERMUDA MARINHO-MARINHO-L;BODY STYLE;L;MARINHO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006509;BERMUDA MARINHO-MARINHO-XL;BODY STYLE;XL;MARINHO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006510;BERMUDA AZUL MESCLA-AZUL-S;BODY STYLE;S;AZUL;0,00;55,00;119,00;61012000;30;11;19;UN
790000006511;BERMUDA AZUL MESCLA-AZUL-M;BODY STYLE;M;AZUL;0,00;55,00;119,00;61012000;30;11;19;UN
790000006512;BERMUDA AZUL MESCLA-AZUL-L;BODY STYLE;L;AZUL;0,00;55,00;119,00;61012000;30;11;19;UN
790000006513;BERMUDA AZUL MESCLA-AZUL-XL;BODY STYLE;XL;AZUL;0,00;55,00;119,00;61012000;30;11;19;UN
790000006514;BERMUDA PRETO MESCLA-PRETO-S;BODY STYLE;S;PRETO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006515;BERMUDA PRETO MESCLA-PRETO-M;BODY STYLE;M;PRETO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006516;BERMUDA PRETO MESCLA-PRETO-L;BODY STYLE;L;PRETO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006517;BERMUDA PRETO MESCLA-PRETO-XL;BODY STYLE;XL;PRETO;0,00;55,00;119,00;61012000;30;11;19;UN
790000006518;BERMUDA CINZA-CINZA-S;BODY STYLE;S;CINZA;0,00;55,00;119,00;61012000;30;11;19;UN
790000006519;BERMUDA CINZA-CINZA-M;BODY STYLE;M;CINZA;0,00;55,00;119,00;61012000;30;11;19;UN
790000006520;BERMUDA CINZA-CINZA-L;BODY STYLE;L;CINZA;0,00;55,00;119,00;61012000;30;11;19;UN
790000006521;BERMUDA CINZA-CINZA-XL;BODY STYLE;XL;CINZA;0,00;55,00;119,00;61012000;30;11;19;UN
