id;vlr_atacado
388548;R$64,00
388549;R$88,10
388551;R$88,10
388552;R$105,64
388554;R$16,90
388555;R$23,70
388556;R$23,70
388558;R$55,14
388561;R$44,90
388562;R$25,50
388563;R$21,00
388565;R$77,33
388567;R$109,83
388568;R$93,20
388569;R$33,30
388574;R$27,99
388575;R$27,99
388579;R$99,01
388586;R$99,01
388588;R$11,42
388590;R$11,42
388594;R$40,78
388595;R$40,78
388596;R$40,78
388598;R$104,00
388601;R$224,46
388604;R$224,46
388616;R$16,50
388619;R$80,90
388620;R$32,00
388622;R$35,60
388624;R$39,14
388625;R$58,00
388626;R$23,36
388627;R$87,50
388628;R$20,50
388629;R$87,50
388630;R$87,50
388631;R$32,00
388632;R$87,50
388633;R$32,00
388634;R$32,65
388635;R$53,90
388638;R$50,24
388639;R$50,24
388642;R$50,24
388660;R$80,90
388661;R$46,93
388662;R$49,90
388663;R$32,63
388664;R$0,00
388665;R$30,02
388666;R$70,10
388667;R$23,45
388668;R$37,58
388669;R$0,00
388670;R$0,00
388671;R$0,00
388672;R$0,00
388673;R$38,68
388674;R$38,68
388675;R$0,00
388676;R$0,00
388677;R$0,00
388678;R$0,00
388679;R$0,00
388680;R$0,00
388683;R$37,19
388687;R$0,00
388688;R$11,50
388689;R$11,50
388690;R$11,50
388692;R$22,40
388695;R$259,70
388696;R$34,06
388697;R$34,06
388700;R$84,56
388701;R$86,91
388702;R$36,41
388704;R$151,05
388705;R$156,00
388706;R$156,00
388708;R$291,25
388709;R$291,25
388710;R$10,54
388713;R$10,54
388714;R$130,00
388716;R$95,00
388718;R$95,00
388719;R$220,00
388721;R$220,00
388723;R$130,50
388724;R$130,50
388726;R$130,50
388727;R$119,90
388729;R$119,90
388730;R$120,06
388731;R$105,00
388732;R$48,29
388734;R$0,00
388738;R$0,00
388740;R$104,27
388741;R$0,00
388742;R$0,00
388745;R$0,00
388746;R$0,00
388748;R$0,00
388749;R$0,00
388750;R$0,00
388752;R$0,00
388833;R$8,00
389559;R$0,00
